true_params,est_params,err,mse0,sample_id
[1.33795572 1.50462756],"[1.3374037866790336, 1.5048694134167433]","[-0.0005519366349175936, 0.00024185821543731834]",5.26306796037884e-08,0
[0.23128341 1.61034587],"[0.2288165888436862, 1.6076726947716602]","[-0.0024668232038767, -0.002673174264441025]",2.453486114697954e-08,1
[0.62507482 0.21740891],"[0.6281253429696932, 0.22489720775787608]","[0.0030505262340354555, 0.0074882949361685935]",9.62292845032965e-05,2
[0.08619862 0.61436878],"[0.08501802236228106, 0.6149980923268072]","[-0.0011805998496411396, 0.0006293171501671191]",1.9721332434343773e-06,3
[1.54082956 1.33068774],"[1.5404128875375354, 1.3309790409303413]","[-0.0004166772411973163, 0.00029129781432168933]",3.259062198284735e-08,4
[1.52861687 0.41600837],"[1.5284287762174116, 0.415727367845234]","[-0.00018809314631451635, -0.00028099858745711526]",4.293668334147694e-08,5
[1.02169198 0.57796069],"[1.0181366492132586, 0.5806312699033009]","[-0.003555328410700165, 0.002670580408880685]",1.371605570091357e-05,6
[0.18279446 0.9495066 ],"[0.18051464451539218, 0.9479152961317451]","[-0.0022798146613464687, -0.001591307303414169]",1.5969063447669579e-06,7
[0.32215985 0.79726145],"[0.3213751861013427, 0.7994431706223066]","[-0.0007846599282027578, 0.002181718200574778]",2.6985196146901547e-06,8
[0.96433991 0.39161468],"[0.961782316420016, 0.39445270028952323]","[-0.0025575944371514225, 0.0028380249909599753]",1.584796833229711e-05,9
